review_id,product_id,brand_name,date_key,review_score,review_len,word_count,dup_count,is_template_like,primary_sentiment,has_negative_aspect,has_positive_aspect,is_mixed_sentiment,hidden_complaint,aspect_Hiệu_quả,aspect_Giá_cả,aspect_Chất_lượng,aspect_Giao_hàng,aspect_Mùi_hương,aspect_Thành_phần,aspect_Dịch_vụ
0,2070262528,Murad,2023-06-01,2.0,568,140,1,False,positive,False,True,True,False,0,0,1,0,0,0,1
1,2070262528,Murad,2026-04-01,5.0,182,39,1,False,positive,False,True,True,False,1,1,0,0,0,0,0
2,2070262528,Murad,2026-04-01,5.0,124,29,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
3,2070262528,Murad,2026-03-01,5.0,163,38,1,False,positive,False,True,True,False,1,0,0,0,1,0,0
4,2070262528,Murad,2026-03-01,5.0,3,1,3,True,,,,,,0,0,0,0,0,0,0
5,2070262528,Murad,2026-03-01,5.0,72,15,1,False,positive,False,True,False,False,1,0,0,0,0,0,0
6,2070262528,Murad,2026-02-01,5.0,188,43,1,False,positive,False,True,False,False,1,0,0,0,0,0,0
7,2070262528,Murad,2026-02-01,5.0,47,10,2,False,,,,,,0,0,0,0,0,0,0
8,2070262528,Murad,2026-02-01,5.0,135,32,1,False,,,,,,0,0,0,0,0,0,0
9,2070262528,Murad,2025-12-01,5.0,46,9,1,False,,,,,,0,0,0,0,0,0,0
10,2070262528,Murad,2025-12-01,5.0,88,19,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
11,2070262528,Murad,2025-12-01,5.0,111,26,1,False,positive,False,True,False,False,1,1,1,0,0,0,0
12,2070262528,Murad,2025-12-01,5.0,136,33,1,False,neutral,False,True,True,False,1,0,0,0,0,0,0
13,2070262528,Murad,2025-12-01,5.0,198,44,1,False,positive,False,True,True,False,1,1,1,0,0,0,0
14,2070262528,Murad,2025-11-01,5.0,119,27,1,False,neutral,False,True,True,False,0,0,0,1,0,0,1
15,2070262528,Murad,2025-11-01,5.0,68,16,1,False,neutral,False,False,False,False,1,1,0,0,0,0,0
16,2070262528,Murad,2025-11-01,5.0,150,36,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
17,2070262528,Murad,2025-11-01,5.0,67,15,1,False,neutral,False,False,False,False,0,0,0,1,0,0,0
18,2070262528,Murad,2025-11-01,5.0,81,19,1,False,positive,False,True,False,False,1,1,0,0,0,0,0
19,2070262528,Murad,2025-10-01,5.0,67,15,1,False,positive,False,True,False,False,0,1,0,0,0,0,1
20,2070262528,Murad,2025-10-01,5.0,115,26,1,False,neutral,False,False,False,False,1,0,0,0,0,0,0
21,2070262528,Murad,2025-10-01,5.0,95,22,1,False,neutral,False,True,True,False,0,1,1,0,0,0,0
22,2070262528,Murad,2025-10-01,5.0,80,12,1,False,neutral,True,False,True,True,1,0,1,0,0,0,0
23,2070262528,Murad,2025-09-01,5.0,149,34,1,False,neutral,False,True,True,False,1,0,0,0,0,0,0
24,2070262528,Murad,2025-09-01,5.0,292,69,1,False,positive,False,True,True,False,1,0,0,0,1,0,0
25,2070262528,Murad,2025-09-01,5.0,63,15,1,False,negative,True,False,False,True,0,0,1,0,0,0,0
26,2070262528,Murad,2025-09-01,5.0,66,15,1,False,neutral,False,True,True,False,0,0,1,1,0,0,0
27,2070262528,Murad,2025-09-01,5.0,96,21,1,False,neutral,False,False,False,False,1,0,0,0,0,0,0
28,2070262528,Murad,2025-08-01,5.0,51,13,1,False,,,,,,0,0,0,0,0,0,0
29,2070262528,Murad,2025-07-01,5.0,5,1,1,True,,,,,,0,0,0,0,0,0,0
30,2070262528,Murad,2025-05-01,5.0,150,35,1,False,neutral,False,True,True,False,1,0,0,0,0,0,0
31,2070262528,Murad,2025-04-01,5.0,48,11,1,False,neutral,False,False,False,False,1,0,0,0,0,0,0
32,2070262528,Murad,2025-04-01,5.0,107,24,1,False,neutral,False,False,False,False,1,0,0,0,0,0,0
33,2070262528,Murad,2025-04-01,5.0,47,10,2,False,,,,,,0,0,0,0,0,0,0
34,2070262528,Murad,2025-04-01,5.0,12,3,1,False,,,,,,0,0,0,0,0,0,0
35,2070262528,Murad,2025-04-01,5.0,233,52,1,False,positive,False,True,True,False,1,0,0,0,1,0,0
36,2070262528,Murad,2025-03-01,5.0,128,31,1,False,neutral,False,False,False,False,1,0,0,0,0,0,0
37,2070262528,Murad,2025-03-01,5.0,81,17,1,False,negative,True,False,False,True,1,0,0,0,0,0,0
38,2070262528,Murad,2025-01-01,5.0,182,43,1,False,positive,False,True,True,False,1,0,0,0,1,0,0
39,2070262528,Murad,2025-01-01,5.0,358,80,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
40,2070262528,Murad,2024-12-01,5.0,160,35,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
41,2070262528,Murad,2024-12-01,5.0,49,11,1,False,positive,False,True,False,False,1,1,0,0,0,0,0
42,2070262528,Murad,2024-12-01,5.0,77,18,1,False,neutral,False,False,False,False,1,0,0,0,0,0,0
43,2070262528,Murad,2024-12-01,5.0,39,10,1,False,positive,False,True,False,False,1,0,0,0,1,0,0
44,2070262528,Murad,2024-12-01,5.0,87,19,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
45,2070262528,Murad,2024-11-01,5.0,151,34,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
46,2070262528,Murad,2024-10-01,5.0,68,15,1,False,positive,False,True,False,False,1,0,0,0,0,0,0
47,2070262528,Murad,2024-09-01,5.0,74,18,1,False,positive,False,True,False,False,1,0,0,0,0,0,0
48,2070262528,Murad,2024-09-01,5.0,102,22,1,False,positive,False,True,False,False,1,0,0,0,0,0,0
49,2070262528,Murad,2024-09-01,5.0,79,20,1,False,positive,False,True,True,False,1,0,0,0,1,0,0
50,2070262528,Murad,2024-08-01,5.0,97,23,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
51,2070262528,Murad,2024-07-01,5.0,168,38,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
52,2070262528,Murad,2024-07-01,5.0,82,18,1,False,neutral,False,True,True,False,1,0,0,0,0,0,0
53,2070262528,Murad,2024-06-01,5.0,64,14,1,False,,,,,,0,0,0,0,0,0,0
54,2070262528,Murad,2024-06-01,5.0,53,12,1,False,positive,False,True,False,False,0,1,0,0,0,0,0
55,2070262528,Murad,2024-06-01,5.0,119,27,1,False,positive,False,True,False,False,1,0,0,0,0,0,0
56,2070262528,Murad,2024-06-01,5.0,39,9,1,False,negative,True,False,False,True,0,0,1,0,0,0,0
57,2070262528,Murad,2024-05-01,5.0,149,33,1,False,positive,False,True,True,False,1,0,0,0,0,0,0
58,2070262528,Murad,2024-05-01,5.0,140,28,1,False,,,,,,0,0,0,0,0,0,0
59,2070262528,Murad,2024-05-01,5.0,158,35,1,False,neutral,False,True,True,False,1,0,0,0,0,0,0
60,2070262528,Murad,2024-05-01,5.0,72,16,1,False,neutral,False,False,False,False,1,0,0,0,0,0,0
61,2070262528,Murad,2024-05-01,5.0,114,26,1,False,positive,False,True,False,False,1,0,0,0,0,0,0
62,2070262528,Murad,2024-03-01,5.0,108,25,1,False,neutral,False,False,False,False,1,0,0,0,0,0,0
