review_id,product_id,brand_name,review_score,aspect,clause_sentiment,clause_text
0,2070262528,Murad,2.0,Chất lượng/Đóng gói,positive,Chất lượng:ko ok Sản phẩm có dấu hiệu cạy mở
0,2070262528,Murad,2.0,Chất lượng/Đóng gói,neutral,vừa mở hộp sp ra thấy ngay chai serum dính tinh chất ở cổ chai
0,2070262528,Murad,2.0,Chất lượng/Đóng gói,neutral,Murad đừng mở miệng ra nói có miếng seal dán ở hộp nha
0,2070262528,Murad,2.0,Chất lượng/Đóng gói,neutral,seal là 1 miếng decal mở ra dán miếng mới 30s ko hề ảnh hưởng gì đến box Mình đảm bảo là sp đã bị vặn cổ chai mở ra rồi đóng lại
0,2070262528,Murad,2.0,Dịch vụ/Uy tín,positive,đừng để NV làm như vậy nữa mất uy tín lắm
0,2070262528,Murad,2.0,Chất lượng/Đóng gói,positive,Chất lượng serum ai đảm bảo nữa đây
1,2070262528,Murad,5.0,Hiệu quả,positive,Giảm thâm nám nhanh chóng và hiệu quả
1,2070262528,Murad,5.0,Hiệu quả,neutral,Giảm sự xuất hiện của các đốm đen
1,2070262528,Murad,5.0,Hiệu quả,positive,Cải thiện độ rõ ràng và sáng của da tổng thể
1,2070262528,Murad,5.0,Hiệu quả,positive,💪Hiệu quả:Làm sáng da
1,2070262528,Murad,5.0,Hiệu quả,positive,Rất hiệu quả
1,2070262528,Murad,5.0,Giá cả,neutral,Giá Cả:Giá cả phải chăng
2,2070262528,Murad,5.0,Hiệu quả,positive,Giảm thâm nám nhanh chóng và hiệu quả
2,2070262528,Murad,5.0,Hiệu quả,neutral,Giảm sự tối màu da
2,2070262528,Murad,5.0,Hiệu quả,positive,Cải thiện độ rõ ràng và sáng của da tổng thể
3,2070262528,Murad,5.0,Hiệu quả,positive,Thúc đẩy làn da mịn màng và rạng rỡ hơn
3,2070262528,Murad,5.0,Hiệu quả,positive,Cải thiện kết cấu và độ rạng rỡ của da
3,2070262528,Murad,5.0,Mùi hương/Kết cấu,positive,Cải thiện kết cấu và độ rạng rỡ của da
3,2070262528,Murad,5.0,Hiệu quả,neutral,Giảm sự xuất hiện của các đốm đen
5,2070262528,Murad,5.0,Hiệu quả,positive,Công thức nhẹ nhàng không gây kích ứng
6,2070262528,Murad,5.0,Hiệu quả,positive,Cải thiện độ rõ ràng và sáng của da tổng thể
6,2070262528,Murad,5.0,Hiệu quả,positive,Giảm thâm nám nhanh chóng và hiệu quả
6,2070262528,Murad,5.0,Hiệu quả,positive,Thúc đẩy làn da mịn màng và rạng rỡ hơn
6,2070262528,Murad,5.0,Hiệu quả,positive,Công thức nhẹ nhàng không gây kích ứng
10,2070262528,Murad,5.0,Hiệu quả,positive,Công thức nhẹ nhàng không gây kích ứng
10,2070262528,Murad,5.0,Hiệu quả,neutral,Làm cho da cảm thấy được dưỡng ẩm và nuôi dưỡng
11,2070262528,Murad,5.0,Hiệu quả,positive,Săn sale hết 15xxk đóng gói cẩn thận sản phẩm sử dụng có hiệu quả được tặng thêm quà khá hời sẽ tiếp tục ủng hộ
11,2070262528,Murad,5.0,Giá cả,positive,Săn sale hết 15xxk đóng gói cẩn thận sản phẩm sử dụng có hiệu quả được tặng thêm quà khá hời sẽ tiếp tục ủng hộ
11,2070262528,Murad,5.0,Chất lượng/Đóng gói,positive,Săn sale hết 15xxk đóng gói cẩn thận sản phẩm sử dụng có hiệu quả được tặng thêm quà khá hời sẽ tiếp tục ủng hộ
12,2070262528,Murad,5.0,Hiệu quả,neutral,Giảm sự xuất hiện của các đốm đen
12,2070262528,Murad,5.0,Hiệu quả,positive,Cải thiện độ rõ ràng và sáng của da tổng thể
13,2070262528,Murad,5.0,Hiệu quả,positive,giải quyết hiệu quả vấn đề của họ nhờ vào chất lượng vượt trội
13,2070262528,Murad,5.0,Chất lượng/Đóng gói,positive,giải quyết hiệu quả vấn đề của họ nhờ vào chất lượng vượt trội
13,2070262528,Murad,5.0,Hiệu quả,neutral,giá trị thực tế và trải nghiệm sử dụng tích cực
13,2070262528,Murad,5.0,Giá cả,neutral,giá trị thực tế và trải nghiệm sử dụng tích cực
14,2070262528,Murad,5.0,Giao hàng,neutral,Hỉnh ảnh mang tính nhận xu shop giao hàng nhanh
14,2070262528,Murad,5.0,Dịch vụ/Uy tín,neutral,Hỉnh ảnh mang tính nhận xu shop giao hàng nhanh
14,2070262528,Murad,5.0,Dịch vụ/Uy tín,positive,ủng hộ shop 5 sao 0：lần sau sẽ ủng hộ shop tiếp
15,2070262528,Murad,5.0,Hiệu quả,neutral,lần đầu dùng thử mình hy vọng giảm nám
15,2070262528,Murad,5.0,Hiệu quả,neutral,giá chát hy vọng có kết quả
15,2070262528,Murad,5.0,Giá cả,neutral,giá chát hy vọng có kết quả
16,2070262528,Murad,5.0,Hiệu quả,positive,Cải thiện độ rõ ràng và sáng của da tổng thể
16,2070262528,Murad,5.0,Hiệu quả,neutral,Làm cho da cảm thấy được dưỡng ẩm và nuôi dưỡng
17,2070262528,Murad,5.0,Giao hàng,neutral,Giao hàng nhanh
18,2070262528,Murad,5.0,Hiệu quả,positive,Giá Cả: hơi cao Hiệu quả: Lần đầu sử dụng hi vọng cải thiện được vết nám trên mặt
18,2070262528,Murad,5.0,Giá cả,positive,Giá Cả: hơi cao Hiệu quả: Lần đầu sử dụng hi vọng cải thiện được vết nám trên mặt
19,2070262528,Murad,5.0,Giá cả,positive,có thương hiệu uy tín Được nhiều người uy tín đánh giá cao
19,2070262528,Murad,5.0,Dịch vụ/Uy tín,positive,có thương hiệu uy tín Được nhiều người uy tín đánh giá cao
20,2070262528,Murad,5.0,Hiệu quả,neutral,Giảm sự xuất hiện của các đốm đen
